date	store	Avg daily sales	Basket size, pieces	Basket size, value	Days open	Margin, value	Receipts	Sales	Visitors
2015-01-01	1039	10986.0	13.0	89.0	98.0	168476.0	8453.0	267204.0	43567.0
2015-01-01	1038	3436.0	16.0	117.0	15.0	72326.0	715.0	79545.0	7697.0
2015-01-01	1028	14556.0	11.0	189.0	18.0	195306.0	9780.0	207452.0	22508.0
2015-01-01	1029	23163.0	11.0	226.0	83.0	720831.0	25225.0	571887.0	40722.0
2015-01-01	1065	1674.0	11.0	33.0	150.0	129256.0	641.0	25121.0	4332.0
2015-01-01	1058	1810.0	10.0	137.0	64.0	14826.0	1632.0	27525.0	3016.0
2015-01-01	1064	3528.0	3.0	83.0	119.0	71406.0	4927.0	155024.0	16887.0
2015-01-01	1066	7114.0	12.0	165.0	136.0	119948.0	4332.0	209703.0	18093.0
2015-01-01	1063	7504.0	6.0	113.0	25.0	128889.0	3956.0	79161.0	46654.0
2015-01-01	1062	1259.0	2.0	178.0	114.0	12131.0	2773.0	168094.0	28554.0
2015-01-01	1048	1723.0	15.0	137.0	91.0	83019.0	6675.0	218935.0	19316.0
2015-01-01	1060	8110.0	13.0	34.0	52.0	147588.0	6142.0	28445.0	52623.0
2015-01-01	1061	19470.0	12.0	169.0	92.0	267603.0	2486.0	594511.0	26950.0
2015-01-01	1049	7532.0	17.0	33.0	81.0	26621.0	5046.0	64597.0	1800.0
2015-01-01	1044	5423.0	10.0	95.0	142.0	56509.0	2686.0	261843.0	22424.0
2015-01-01	1045	4341.0	5.0	171.0	60.0	172370.0	9525.0	205474.0	12541.0
2015-01-01	1047	13176.0	22.0	97.0	66.0	49181.0	1723.0	206352.0	13513.0
2015-01-01	1042	10007.0	3.0	178.0	66.0	83481.0	5151.0	271877.0	9245.0
2015-01-01	1043	7185.0	10.0	87.0	23.0	123377.0	4191.0	248201.0	15948.0
2015-01-01	1041	1410.0	17.0	52.0	52.0	6405.0	1630.0	66885.0	4557.0
2015-01-01	1068	1121.0	10.0	106.0	39.0	40913.0	2089.0	15971.0	4719.0
2015-01-01	1033	3738.0	5.0	156.0	48.0	54384.0	2110.0	112698.0	16932.0
2015-01-01	1032	4296.0	7.0	186.0	68.0	57116.0	3414.0	87369.0	2270.0
2015-01-01	1030	5426.0	11.0	56.0	29.0	138853.0	9884.0	319647.0	32921.0
2015-01-01	1031	6113.0	11.0	135.0	126.0	26856.0	5824.0	308871.0	9469.0
2015-01-01	1035	9769.0	14.0	162.0	117.0	129885.0	7700.0	245590.0	5771.0
2015-01-01	1034	29987.0	22.0	170.0	17.0	510676.0	8725.0	310269.0	11033.0
2015-01-01	1036	623.0	4.0	123.0	140.0	54759.0	3098.0	132890.0	12583.0
2015-01-01	1037	2168.0	11.0	24.0	31.0	219291.0	2970.0	265152.0	41433.0
2018-08-01	1039	15332.0	2.0	90.0	93.0	391212.0	8443.0	290479.0	75023.0
2018-08-01	1038	4168.0	5.0	143.0	53.0	360316.0	9328.0	285530.0	19244.0
2018-08-01	1028	18935.0	14.0	185.0	149.0	107547.0	11028.0	102010.0	12612.0
2018-08-01	1029	50112.0	14.0	214.0	113.0	512597.0	13757.0	642222.0	47977.0
2018-08-01	1071	8081.0	3.0	67.0	55.0	104851.0	702.0	184767.0	0.0
2018-08-01	1065	8516.0	3.0	402.0	81.0	235561.0	1167.0	105535.0	14228.0
2018-08-01	1058	14531.0	9.0	183.0	71.0	460746.0	17593.0	627634.0	74954.0
2018-08-01	1064	17763.0	12.0	142.0	60.0	221651.0	3891.0	658098.0	11189.0
